# B(mT)	 U (V)	 std (V)	 direction 	 loop 
-599.9600	0.2104	0.0019	1.0000	1.0000
-594.9676	0.1994	0.0011	1.0000	1.0000
-590.0110	0.1999	0.0012	1.0000	1.0000
-585.0048	0.2003	0.0011	1.0000	1.0000
-580.0792	0.2004	0.0011	1.0000	1.0000
-575.0386	0.2007	0.0010	1.0000	1.0000
-570.0542	0.2015	0.0011	1.0000	1.0000
-565.0082	0.2022	0.0009	1.0000	1.0000
-560.0576	0.2024	0.0011	1.0000	1.0000
-555.0638	0.2029	0.0013	1.0000	1.0000
-549.9424	0.2037	0.0012	1.0000	1.0000
-544.9612	0.2040	0.0011	1.0000	1.0000
-539.9436	0.2042	0.0010	1.0000	1.0000
-535.0710	0.2050	0.0012	1.0000	1.0000
-530.0030	0.2046	0.0012	1.0000	1.0000
-525.0824	0.2063	0.0012	1.0000	1.0000
-519.9692	0.2062	0.0012	1.0000	1.0000
-514.9634	0.2064	0.0012	1.0000	1.0000
-509.9444	0.2075	0.0011	1.0000	1.0000
-505.0668	0.2072	0.0011	1.0000	1.0000
-499.9818	0.2079	0.0011	1.0000	1.0000
-495.0470	0.2079	0.0019	1.0000	1.0000
-489.9104	0.2078	0.0021	1.0000	1.0000
-484.9496	0.2090	0.0017	1.0000	1.0000
-479.9692	0.2098	0.0010	1.0000	1.0000
-474.9720	0.2101	0.0011	1.0000	1.0000
-469.9460	0.2107	0.0011	1.0000	1.0000
-465.0960	0.2107	0.0014	1.0000	1.0000
-460.0656	0.2112	0.0013	1.0000	1.0000
-455.0424	0.2117	0.0015	1.0000	1.0000
-449.9964	0.2121	0.0013	1.0000	1.0000
-444.9420	0.2129	0.0012	1.0000	1.0000
-440.0700	0.2124	0.0012	1.0000	1.0000
-435.0000	0.2138	0.0012	1.0000	1.0000
-429.9520	0.2141	0.0013	1.0000	1.0000
-424.9080	0.2144	0.0010	1.0000	1.0000
-420.0258	0.2144	0.0011	1.0000	1.0000
-414.9454	0.2149	0.0013	1.0000	1.0000
-410.0460	0.2155	0.0014	1.0000	1.0000
-404.9500	0.2162	0.0011	1.0000	1.0000
-400.0450	0.2165	0.0012	1.0000	1.0000
-394.9440	0.2171	0.0012	1.0000	1.0000
-390.0440	0.2177	0.0010	1.0000	1.0000
-384.9436	0.2179	0.0012	1.0000	1.0000
