# B_up (mT)	 U_up (V) 	 Bdown (mT) 	 U_down (V) 
-599.9600	0.2040	600.0080	-0.2717
-594.9676	0.1987	595.0160	-0.2723
-590.0110	0.1990	590.0000	-0.2725
-585.0048	0.1999	585.0388	-0.2736
-580.0792	0.2001	580.0038	-0.2736
-575.0386	0.2003	574.9880	-0.2736
-570.0542	0.2008	570.0180	-0.2745
-565.0082	0.2016	564.9900	-0.2749
-560.0576	0.2015	560.0078	-0.2756
-555.0638	0.2020	554.9936	-0.2758
-549.9424	0.2026	550.0712	-0.2758
-544.9612	0.2032	544.9430	-0.2764
-539.9436	0.2034	539.9646	-0.2767
-535.0710	0.2040	535.0800	-0.2779
-530.0030	0.2041	529.9840	-0.2780
-525.0824	0.2054	525.0050	-0.2779
-519.9692	0.2055	520.0124	-0.2788
-514.9634	0.2053	514.9148	-0.2793
-509.9444	0.2060	510.0160	-0.2800
-505.0668	0.2064	504.9724	-0.2807
-499.9818	0.2072	499.9108	-0.2815
-495.0470	0.2073	495.0020	-0.2811
-489.9104	0.2076	490.0404	-0.2823
-484.9496	0.2087	485.0068	-0.2825
-479.9692	0.2092	480.0148	-0.2826
-474.9720	0.2095	475.0644	-0.2834
-469.9460	0.2100	470.0720	-0.2841
-465.0960	0.2103	465.0488	-0.2839
-460.0656	0.2103	460.0528	-0.2846
-455.0424	0.2114	455.0712	-0.2850
-449.9964	0.2114	450.0554	-0.2852
-444.9420	0.2120	445.0270	-0.2862
-440.0700	0.2119	439.9902	-0.2864
-435.0000	0.2130	434.9514	-0.2870
-429.9520	0.2133	430.0844	-0.2875
-424.9080	0.2141	425.0196	-0.2874
-420.0258	0.2143	419.9164	-0.2876
-414.9454	0.2142	415.0064	-0.2889
-410.0460	0.2148	409.9200	-0.2886
-404.9500	0.2157	405.0300	-0.2894
-400.0450	0.2162	399.9600	-0.2895
-394.9440	0.2169	395.0802	-0.2907
-390.0440	0.2171	390.0852	-0.2905
-384.9436	0.2176	385.0918	-0.2907
-379.9886	0.2177	379.9386	-0.2914
-375.0308	0.2179	374.9856	-0.2928
-370.0408	0.2183	370.0556	-0.2925
-365.0544	0.2180	364.9242	-0.2923
-359.9116	0.2187	359.9592	-0.2937
-354.9636	0.2190	354.9912	-0.2931
-349.9936	0.2197	350.0012	-0.2934
-345.0224	0.2193	345.0190	-0.2943
-340.0424	0.2199	340.0940	-0.2951
-335.0648	0.2205	334.9712	-0.2951
-329.9064	0.2213	330.0412	-0.2955
-324.9432	0.2214	324.9000	-0.2945
-319.9632	0.2219	319.9000	-0.2960
-314.9800	0.2222	314.9060	-0.2959
-309.9800	0.2224	309.9360	-0.2968
-304.9832	0.2227	304.9670	-0.2970
-300.0032	0.2230	300.0020	-0.2974
-295.0240	0.2239	295.0220	-0.2976
-290.0490	0.2238	289.9820	-0.2974
-285.0636	0.2235	284.9490	-0.2983
-280.0236	0.2242	279.9440	-0.2987
-274.9900	0.2245	274.9360	-0.2992
-269.9900	0.2244	269.9160	-0.2994
-264.9940	0.2250	264.9030	-0.2999
-260.0190	0.2252	259.9180	-0.2991
-255.0360	0.2253	254.9190	-0.2993
-250.0110	0.2251	250.0662	-0.2998
-244.9852	0.2255	245.0096	-0.2999
-239.9552	0.2256	239.9446	-0.3001
-234.9236	0.2260	235.0840	-0.2999
-230.0852	0.2261	230.0340	-0.2993
-225.0482	0.2266	224.9888	-0.3000
-220.0332	0.2269	219.9788	-0.2998
-215.0158	0.2262	214.9718	-0.3004
-209.9808	0.2261	209.9868	-0.2997
-204.9464	0.2257	205.0030	-0.3001
-199.9164	0.2257	200.0280	-0.3003
-195.0892	0.2257	195.0482	-0.3001
-190.0792	0.2259	190.0332	-0.3004
-185.0668	0.2258	185.0134	-0.2996
-180.0268	0.2248	179.9584	-0.2996
-174.9856	0.2248	174.9082	-0.2994
-169.9306	0.2243	170.0938	-0.2989
-165.0802	0.2235	165.0752	-0.2975
-160.0852	0.2236	160.0152	-0.2974
-155.0884	0.2227	154.9568	-0.2970
-150.0484	0.2218	149.9168	-0.2962
-145.0086	0.2210	145.0774	-0.2952
-139.9736	0.2198	140.0124	-0.2943
-134.9382	0.2186	134.9486	-0.2932
-130.0950	0.2170	129.9136	-0.2911
-125.0500	0.2154	125.0800	-0.2897
-120.0350	0.2126	120.0700	-0.2867
-115.0200	0.2095	115.0600	-0.2839
-109.9350	0.2065	109.9400	-0.2807
-105.0534	0.2024	105.0248	-0.2764
-99.9348	0.1971	99.9672	-0.2714
-95.0196	0.1910	94.9122	-0.2649
-89.9686	0.1840	90.0502	-0.2584
-84.9236	0.1781	84.9852	-0.2512
-80.0584	0.1698	79.9294	-0.2434
-74.9884	0.1617	75.0766	-0.2355
-69.9272	0.1526	70.0480	-0.2267
-65.0696	0.1438	65.0230	-0.2174
-60.0264	0.1339	59.9628	-0.2084
-54.9864	0.1240	55.1004	-0.1993
-49.9338	0.1142	50.0354	-0.1890
-45.0810	0.1041	44.9704	-0.1780
-40.0180	0.0933	40.1000	-0.1673
-34.9530	0.0840	35.0250	-0.1570
-30.0944	0.0727	29.9820	-0.1467
-25.0344	0.0618	24.9470	-0.1362
-20.0010	0.0506	19.9000	-0.1249
-14.9760	0.0397	15.0520	-0.1140
