# B(mT)	 U (V)	 std (V)	 direction 	 loop 
-599.9600	-0.0459	0.0039	1.0000	1.0000
-594.9676	-0.0577	0.0023	1.0000	1.0000
-590.0110	-0.0583	0.0023	1.0000	1.0000
-585.0048	-0.0590	0.0026	1.0000	1.0000
-580.0792	-0.0590	0.0027	1.0000	1.0000
-575.0386	-0.0591	0.0024	1.0000	1.0000
-570.0542	-0.0585	0.0025	1.0000	1.0000
-565.0082	-0.0580	0.0023	1.0000	1.0000
-560.0576	-0.0577	0.0025	1.0000	1.0000
-555.0638	-0.0579	0.0024	1.0000	1.0000
-549.9424	-0.0581	0.0022	1.0000	1.0000
-544.9612	-0.0577	0.0025	1.0000	1.0000
-539.9436	-0.0575	0.0024	1.0000	1.0000
-535.0710	-0.0572	0.0022	1.0000	1.0000
-530.0030	-0.0567	0.0024	1.0000	1.0000
-525.0824	-0.0562	0.0021	1.0000	1.0000
-519.9692	-0.0561	0.0022	1.0000	1.0000
-514.9634	-0.0558	0.0024	1.0000	1.0000
-509.9444	-0.0559	0.0023	1.0000	1.0000
-505.0668	-0.0558	0.0022	1.0000	1.0000
-499.9818	-0.0554	0.0025	1.0000	1.0000
-495.0470	-0.0554	0.0025	1.0000	1.0000
-489.9104	-0.0549	0.0024	1.0000	1.0000
-484.9496	-0.0547	0.0023	1.0000	1.0000
-479.9692	-0.0545	0.0022	1.0000	1.0000
-474.9720	-0.0544	0.0023	1.0000	1.0000
-469.9460	-0.0539	0.0021	1.0000	1.0000
-465.0960	-0.0532	0.0024	1.0000	1.0000
-460.0656	-0.0531	0.0025	1.0000	1.0000
-455.0424	-0.0530	0.0023	1.0000	1.0000
-449.9964	-0.0525	0.0021	1.0000	1.0000
-444.9420	-0.0522	0.0024	1.0000	1.0000
-440.0700	-0.0517	0.0022	1.0000	1.0000
-435.0000	-0.0516	0.0025	1.0000	1.0000
-429.9520	-0.0517	0.0024	1.0000	1.0000
-424.9080	-0.0512	0.0024	1.0000	1.0000
-420.0258	-0.0510	0.0025	1.0000	1.0000
-414.9454	-0.0511	0.0022	1.0000	1.0000
-410.0460	-0.0510	0.0023	1.0000	1.0000
-404.9500	-0.0510	0.0023	1.0000	1.0000
-400.0450	-0.0507	0.0025	1.0000	1.0000
-394.9440	-0.0507	0.0023	1.0000	1.0000
-390.0440	-0.0501	0.0022	1.0000	1.0000
-384.9436	-0.0498	0.0025	1.0000	1.0000
-379.9886	-0.0498	0.0024	1.0000	1.0000
-375.0308	-0.0498	0.0026	1.0000	1.0000
-370.0408	-0.0496	0.0025	1.0000	1.0000
-365.0544	-0.0496	0.0025	1.0000	1.0000
