# B_up (mT)	 U_up (V) 	 Bdown (mT) 	 U_down (V) 
-599.9600	-0.0459	600.0080	0.0496
-594.9676	-0.0577	595.0160	0.0486
-590.0110	-0.0583	590.0000	0.0492
-585.0048	-0.0590	585.0388	0.0492
-580.0792	-0.0590	580.0038	0.0493
-575.0386	-0.0591	574.9880	0.0493
-570.0542	-0.0585	570.0180	0.0490
-565.0082	-0.0580	564.9900	0.0495
-560.0576	-0.0577	560.0078	0.0504
-555.0638	-0.0579	554.9936	0.0507
-549.9424	-0.0581	550.0712	0.0501
-544.9612	-0.0577	544.9430	0.0493
-539.9436	-0.0575	539.9646	0.0497
-535.0710	-0.0572	535.0800	0.0502
-530.0030	-0.0567	529.9840	0.0498
-525.0824	-0.0562	525.0050	0.0502
-519.9692	-0.0561	520.0124	0.0504
-514.9634	-0.0558	514.9148	0.0504
-509.9444	-0.0559	510.0160	0.0505
-505.0668	-0.0558	504.9724	0.0503
-499.9818	-0.0554	499.9108	0.0502
-495.0470	-0.0554	495.0020	0.0502
-489.9104	-0.0549	490.0404	0.0505
-484.9496	-0.0547	485.0068	0.0503
-479.9692	-0.0545	480.0148	0.0499
-474.9720	-0.0544	475.0644	0.0503
-469.9460	-0.0539	470.0720	0.0507
-465.0960	-0.0532	465.0488	0.0511
-460.0656	-0.0531	460.0528	0.0513
-455.0424	-0.0530	455.0712	0.0505
-449.9964	-0.0525	450.0554	0.0507
-444.9420	-0.0522	445.0270	0.0511
-440.0700	-0.0517	439.9902	0.0509
-435.0000	-0.0516	434.9514	0.0511
-429.9520	-0.0517	430.0844	0.0516
-424.9080	-0.0512	425.0196	0.0517
-420.0258	-0.0510	419.9164	0.0515
-414.9454	-0.0511	415.0064	0.0517
-410.0460	-0.0510	409.9200	0.0510
-404.9500	-0.0510	405.0300	0.0506
-400.0450	-0.0507	399.9600	0.0507
-394.9440	-0.0507	395.0802	0.0507
-390.0440	-0.0501	390.0852	0.0492
-384.9436	-0.0498	385.0918	0.0499
-379.9886	-0.0498	379.9386	0.0499
-375.0308	-0.0498	374.9856	0.0498
-370.0408	-0.0496	370.0556	0.0513
-365.0544	-0.0496	364.9242	0.0515
-359.9116	-0.0497	359.9592	0.0514
-354.9636	-0.0497	354.9912	0.0519
-349.9936	-0.0494	350.0012	0.0520
-345.0224	-0.0490	345.0190	0.0522
-340.0424	-0.0489	340.0940	0.0516
-335.0648	-0.0490	334.9712	0.0508
-329.9064	-0.0490	330.0412	0.0497
-324.9432	-0.0489	324.9000	0.0493
-319.9632	-0.0488	319.9000	0.0492
-314.9800	-0.0486	314.9060	0.0485
-309.9800	-0.0490	309.9360	0.0475
-304.9832	-0.0491	304.9670	0.0467
-300.0032	-0.0489	300.0020	0.0466
-295.0240	-0.0490	295.0220	0.0477
-290.0490	-0.0489	289.9820	0.0483
-285.0636	-0.0489	284.9490	0.0485
-280.0236	-0.0484	279.9440	0.0487
-274.9900	-0.0481	274.9360	0.0489
-269.9900	-0.0478	269.9160	0.0497
-264.9940	-0.0477	264.9030	0.0500
-260.0190	-0.0473	259.9180	0.0507
-255.0360	-0.0476	254.9190	0.0504
-250.0110	-0.0475	250.0662	0.0509
-244.9852	-0.0475	245.0096	0.0504
-239.9552	-0.0470	239.9446	0.0497
-234.9236	-0.0465	235.0840	0.0506
-230.0852	-0.0464	230.0340	0.0503
-225.0482	-0.0454	224.9888	0.0501
-220.0332	-0.0448	219.9788	0.0505
-215.0158	-0.0442	214.9718	0.0507
-209.9808	-0.0439	209.9868	0.0503
-204.9464	-0.0442	205.0030	0.0515
-199.9164	-0.0449	200.0280	0.0511
-195.0892	-0.0450	195.0482	0.0515
-190.0792	-0.0444	190.0332	0.0514
-185.0668	-0.0445	185.0134	0.0516
-180.0268	-0.0444	179.9584	0.0513
-174.9856	-0.0441	174.9082	0.0511
-169.9306	-0.0436	170.0938	0.0508
-165.0802	-0.0432	165.0752	0.0508
-160.0852	-0.0429	160.0152	0.0513
-155.0884	-0.0424	154.9568	0.0503
-150.0484	-0.0422	149.9168	0.0505
-145.0086	-0.0415	145.0774	0.0503
