# B_down (mT)	 U_down (V) 
600.0080	0.0496
595.0160	0.0486
590.0000	0.0492
585.0388	0.0492
580.0038	0.0493
574.9880	0.0493
570.0180	0.0490
564.9900	0.0495
560.0078	0.0504
554.9936	0.0507
550.0712	0.0501
544.9430	0.0493
539.9646	0.0497
535.0800	0.0502
529.9840	0.0498
525.0050	0.0502
520.0124	0.0504
514.9148	0.0504
510.0160	0.0505
504.9724	0.0503
499.9108	0.0502
495.0020	0.0502
490.0404	0.0505
485.0068	0.0503
480.0148	0.0499
475.0644	0.0503
470.0720	0.0507
465.0488	0.0511
460.0528	0.0513
455.0712	0.0505
450.0554	0.0507
445.0270	0.0511
439.9902	0.0509
434.9514	0.0511
430.0844	0.0516
425.0196	0.0517
419.9164	0.0515
415.0064	0.0517
409.9200	0.0510
405.0300	0.0506
399.9600	0.0507
395.0802	0.0507
390.0852	0.0492
385.0918	0.0499
379.9386	0.0499
374.9856	0.0498
370.0556	0.0513
364.9242	0.0515
359.9592	0.0514
354.9912	0.0519
350.0012	0.0520
345.0190	0.0522
340.0940	0.0516
334.9712	0.0508
330.0412	0.0497
324.9000	0.0493
319.9000	0.0492
314.9060	0.0485
309.9360	0.0475
304.9670	0.0467
300.0020	0.0466
295.0220	0.0477
289.9820	0.0483
284.9490	0.0485
279.9440	0.0487
274.9360	0.0489
269.9160	0.0497
264.9030	0.0500
259.9180	0.0507
254.9190	0.0504
250.0662	0.0509
245.0096	0.0504
239.9446	0.0497
235.0840	0.0506
230.0340	0.0503
224.9888	0.0501
219.9788	0.0505
214.9718	0.0507
209.9868	0.0503
205.0030	0.0515
200.0280	0.0511
195.0482	0.0515
190.0332	0.0514
185.0134	0.0516
179.9584	0.0513
174.9082	0.0511
170.0938	0.0508
165.0752	0.0508
160.0152	0.0513
154.9568	0.0503
149.9168	0.0505
145.0774	0.0503
140.0124	0.0498
134.9486	0.0493
129.9136	0.0495
125.0800	0.0489
120.0700	0.0480
115.0600	0.0478
109.9400	0.0469
105.0248	0.0459
99.9672	0.0449
94.9122	0.0438
90.0502	0.0426
84.9852	0.0418
79.9294	0.0405
75.0766	0.0390
70.0480	0.0375
65.0230	0.0358
59.9628	0.0348
55.1004	0.0329
50.0354	0.0314
44.9704	0.0298
40.1000	0.0285
35.0250	0.0269
29.9820	0.0253
24.9470	0.0238
19.9000	0.0222
15.0520	0.0204
9.9868	0.0181
4.9168	0.0153
0.0856	0.0138
-4.9344	0.0116
-9.9796	0.0090
-15.0346	0.0069
-20.0896	0.0050
-24.9424	0.0034
-29.9940	0.0016
-35.0440	-0.0002
-39.9016	-0.0023
-44.9666	-0.0041
-50.0316	-0.0062
-55.0966	-0.0079
-59.9620	-0.0092
-65.0320	-0.0113
-70.0810	-0.0132
-74.9146	-0.0151
-79.9664	-0.0165
-85.0314	-0.0182
-89.9042	-0.0201
-94.9892	-0.0220
-100.0326	-0.0243
-105.0376	-0.0255
-110.0894	-0.0272
-114.9806	-0.0294
-120.0420	-0.0304
-125.0670	-0.0321
-129.8998	-0.0328
-134.9448	-0.0329
-139.9942	-0.0336
-145.0492	-0.0342
-149.9040	-0.0344
-154.9640	-0.0356
-160.0100	-0.0364
-165.0350	-0.0366
-170.0660	-0.0373
-174.9044	-0.0385
-179.9444	-0.0386
-184.9844	-0.0382
-190.0550	-0.0379
-194.9750	-0.0384
-200.0328	-0.0381
-204.9478	-0.0384
-209.9108	-0.0388
-214.9758	-0.0388
-220.0584	-0.0388
-224.9736	-0.0385
-230.0516	-0.0391
-235.0216	-0.0398
-240.0140	-0.0404
-245.0640	-0.0410
-249.9096	-0.0404
-254.9496	-0.0408
-259.9860	-0.0408
-265.0110	-0.0417
-270.0312	-0.0416
-275.0362	-0.0414
-280.0496	-0.0418
-285.0896	-0.0427
-289.9210	-0.0426
-294.9260	-0.0411
-299.9310	-0.0420
-304.9360	-0.0410
-309.9320	-0.0406
-315.0904	-0.0409
-320.0588	-0.0409
-325.0538	-0.0421
-330.0416	-0.0428
-335.0066	-0.0430
-339.9644	-0.0430
-345.0968	-0.0439
-350.0570	-0.0447
-355.0820	-0.0458
-360.0762	-0.0465
-364.9912	-0.0458
-369.9398	-0.0458
-374.9748	-0.0450
-379.9930	-0.0450
-384.9680	-0.0448
-389.9332	-0.0448
-395.0708	-0.0442
-399.9948	-0.0446
-405.0804	-0.0448
-409.9722	-0.0447
-415.0630	-0.0453
-419.9600	-0.0450
-425.0560	-0.0440
-429.9626	-0.0445
-435.0742	-0.0454
-439.9604	-0.0453
-445.0096	-0.0454
-450.0280	-0.0467
-455.0200	-0.0476
-460.0760	-0.0483
-464.9760	-0.0500
-470.0040	-0.0505
-474.9960	-0.0508
-480.0108	-0.0503
-485.0340	-0.0503
-490.0614	-0.0497
-495.0898	-0.0496
-500.0032	-0.0492
-505.0900	-0.0487
-510.0820	-0.0486
-515.0668	-0.0497
-519.9652	-0.0497
-525.0560	-0.0492
-529.9752	-0.0491
-535.0292	-0.0495
-539.9540	-0.0494
-545.0456	-0.0494
-549.9380	-0.0495
-555.0260	-0.0499
-559.9400	-0.0500
-564.9732	-0.0503
-569.9506	-0.0504
-575.0566	-0.0510
-580.0456	-0.0512
-585.0428	-0.0505
-590.0764	-0.0512
-595.0092	-0.0513
-600.0208	-0.0519
