# B_up (mT)	 U_up (V)
-599.9600	-0.0459
-594.9676	-0.0577
-590.0110	-0.0583
-585.0048	-0.0590
-580.0792	-0.0590
-575.0386	-0.0591
-570.0542	-0.0585
-565.0082	-0.0580
-560.0576	-0.0577
-555.0638	-0.0579
-549.9424	-0.0581
-544.9612	-0.0577
-539.9436	-0.0575
-535.0710	-0.0572
-530.0030	-0.0567
-525.0824	-0.0562
-519.9692	-0.0561
-514.9634	-0.0558
-509.9444	-0.0559
-505.0668	-0.0558
-499.9818	-0.0554
-495.0470	-0.0554
-489.9104	-0.0549
-484.9496	-0.0547
-479.9692	-0.0545
-474.9720	-0.0544
-469.9460	-0.0539
-465.0960	-0.0532
-460.0656	-0.0531
-455.0424	-0.0530
-449.9964	-0.0525
-444.9420	-0.0522
-440.0700	-0.0517
-435.0000	-0.0516
-429.9520	-0.0517
-424.9080	-0.0512
-420.0258	-0.0510
-414.9454	-0.0511
-410.0460	-0.0510
-404.9500	-0.0510
-400.0450	-0.0507
-394.9440	-0.0507
-390.0440	-0.0501
-384.9436	-0.0498
-379.9886	-0.0498
-375.0308	-0.0498
-370.0408	-0.0496
-365.0544	-0.0496
-359.9116	-0.0497
-354.9636	-0.0497
-349.9936	-0.0494
-345.0224	-0.0490
-340.0424	-0.0489
-335.0648	-0.0490
-329.9064	-0.0490
-324.9432	-0.0489
-319.9632	-0.0488
-314.9800	-0.0486
-309.9800	-0.0490
-304.9832	-0.0491
-300.0032	-0.0489
-295.0240	-0.0490
-290.0490	-0.0489
-285.0636	-0.0489
-280.0236	-0.0484
-274.9900	-0.0481
-269.9900	-0.0478
-264.9940	-0.0477
-260.0190	-0.0473
-255.0360	-0.0476
-250.0110	-0.0475
-244.9852	-0.0475
-239.9552	-0.0470
-234.9236	-0.0465
-230.0852	-0.0464
-225.0482	-0.0454
-220.0332	-0.0448
-215.0158	-0.0442
-209.9808	-0.0439
-204.9464	-0.0442
-199.9164	-0.0449
-195.0892	-0.0450
-190.0792	-0.0444
-185.0668	-0.0445
-180.0268	-0.0444
-174.9856	-0.0441
-169.9306	-0.0436
-165.0802	-0.0432
-160.0852	-0.0429
-155.0884	-0.0424
-150.0484	-0.0422
-145.0086	-0.0415
-139.9736	-0.0412
-134.9382	-0.0407
-130.0950	-0.0399
-125.0500	-0.0394
-120.0350	-0.0390
-115.0200	-0.0386
-109.9350	-0.0378
-105.0534	-0.0360
-99.9348	-0.0353
-95.0196	-0.0351
-89.9686	-0.0336
-84.9236	-0.0323
-80.0584	-0.0309
-74.9884	-0.0295
-69.9272	-0.0279
-65.0696	-0.0266
-60.0264	-0.0253
-54.9864	-0.0238
-49.9338	-0.0221
-45.0810	-0.0204
-40.0180	-0.0183
-34.9530	-0.0164
-30.0944	-0.0147
-25.0344	-0.0129
-20.0010	-0.0112
-14.9760	-0.0095
-9.9244	-0.0071
-5.0668	-0.0056
0.0148	-0.0037
4.9012	-0.0021
9.9300	-0.0001
14.9300	0.0012
19.9742	0.0029
25.0392	0.0047
29.9080	0.0072
34.9830	0.0090
40.0388	0.0120
45.0838	0.0140
49.9450	0.0160
55.0200	0.0183
59.9004	0.0200
64.9904	0.0215
70.0692	0.0236
74.9364	0.0259
79.9908	0.0279
85.0308	0.0299
90.0864	0.0322
94.9536	0.0343
100.0140	0.0360
105.0640	0.0376
110.0948	0.0392
114.9044	0.0409
119.9364	0.0422
124.9964	0.0428
130.0608	0.0439
134.9280	0.0445
139.9840	0.0453
145.0190	0.0459
150.0720	0.0462
154.9488	0.0465
160.0198	0.0469
165.0748	0.0466
169.9372	0.0475
175.0222	0.0475
180.0896	0.0477
184.9184	0.0482
189.9610	0.0491
195.0360	0.0489
199.9044	0.0491
204.9644	0.0489
210.0112	0.0493
215.0162	0.0492
220.0272	0.0489
225.0572	0.0493
230.0848	0.0490
234.9040	0.0493
239.9250	0.0498
244.9500	0.0499
249.9770	0.0496
255.0120	0.0499
260.0450	0.0501
265.0700	0.0500
270.0990	0.0509
274.9422	0.0508
279.9872	0.0509
285.0322	0.0514
290.0748	0.0511
294.9036	0.0510
299.9324	0.0508
304.9524	0.0506
309.9706	0.0507
314.9756	0.0498
319.9806	0.0493
324.9856	0.0491
329.9894	0.0491
334.9844	0.0486
339.9788	0.0488
344.9688	0.0488
349.9504	0.0492
355.0672	0.0494
359.9928	0.0496
364.9478	0.0493
369.9036	0.0500
375.0620	0.0502
380.0190	0.0507
384.9640	0.0504
389.9080	0.0508
395.0456	0.0509
399.9868	0.0515
404.9318	0.0514
410.0704	0.0519
415.0004	0.0516
419.9248	0.0520
425.0312	0.0518
429.9460	0.0514
435.0680	0.0513
439.9840	0.0516
445.0800	0.0513
449.9680	0.0509
455.0328	0.0507
459.9072	0.0502
464.9824	0.0502
470.0498	0.0497
474.9148	0.0497
479.9296	0.0498
484.9060	0.0499
490.0636	0.0494
495.0244	0.0498
499.9852	0.0496
504.9460	0.0494
510.0712	0.0488
515.0008	0.0481
520.0750	0.0480
524.9576	0.0470
530.0228	0.0464
535.0740	0.0457
540.0636	0.0454
545.0280	0.0466
549.9420	0.0472
555.0128	0.0465
560.0584	0.0466
565.0280	0.0468
569.9672	0.0473
574.9154	0.0481
579.9696	0.0481
585.0164	0.0484
589.9378	0.0489
594.9272	0.0495
599.9320	0.0491
