# B(mT)	 U (V)	 std (V)	 direction 	 loop 
-599.9600	-0.0095	0.0023	1.0000	1.0000
-580.0792	-0.0094	0.0023	1.0000	1.0000
-560.0576	-0.0090	0.0022	1.0000	1.0000
-539.9436	-0.0091	0.0024	1.0000	1.0000
-519.9692	-0.0087	0.0024	1.0000	1.0000
-499.9818	-0.0089	0.0021	1.0000	1.0000
-479.9692	-0.0086	0.0024	1.0000	1.0000
-460.0656	-0.0086	0.0025	1.0000	1.0000
-440.0700	-0.0084	0.0023	1.0000	1.0000
-420.0258	-0.0085	0.0024	1.0000	1.0000
-400.0450	-0.0079	0.0022	1.0000	1.0000
-379.9886	-0.0083	0.0024	1.0000	1.0000
-359.9116	-0.0076	0.0023	1.0000	1.0000
-340.0424	-0.0072	0.0024	1.0000	1.0000
-319.9632	-0.0073	0.0025	1.0000	1.0000
-300.0032	-0.0071	0.0024	1.0000	1.0000
-280.0236	-0.0066	0.0022	1.0000	1.0000
-260.0190	-0.0063	0.0022	1.0000	1.0000
-239.9552	-0.0057	0.0024	1.0000	1.0000
-220.0332	-0.0048	0.0024	1.0000	1.0000
-199.9164	-0.0047	0.0023	1.0000	1.0000
-180.0268	-0.0041	0.0022	1.0000	1.0000
-160.0852	-0.0033	0.0022	1.0000	1.0000
-139.9736	-0.0030	0.0022	1.0000	1.0000
-120.0350	-0.0025	0.0019	1.0000	1.0000
-99.9348	-0.0017	0.0023	1.0000	1.0000
-80.0584	-0.0011	0.0023	1.0000	1.0000
-60.0264	-0.0006	0.0022	1.0000	1.0000
-40.0180	0.0000	0.0021	1.0000	1.0000
-20.0010	0.0006	0.0024	1.0000	1.0000
0.0148	0.0010	0.0023	1.0000	1.0000
19.9742	0.0020	0.0022	1.0000	1.0000
40.0388	0.0021	0.0022	1.0000	1.0000
59.9004	0.0028	0.0021	1.0000	1.0000
79.9908	0.0036	0.0025	1.0000	1.0000
100.0140	0.0043	0.0026	1.0000	1.0000
119.9364	0.0049	0.0024	1.0000	1.0000
139.9840	0.0053	0.0021	1.0000	1.0000
160.0198	0.0059	0.0025	1.0000	1.0000
180.0896	0.0064	0.0021	1.0000	1.0000
199.9044	0.0070	0.0022	1.0000	1.0000
220.0272	0.0076	0.0023	1.0000	1.0000
239.9250	0.0081	0.0023	1.0000	1.0000
260.0450	0.0084	0.0021	1.0000	1.0000
279.9872	0.0090	0.0024	1.0000	1.0000
299.9324	0.0093	0.0023	1.0000	1.0000
319.9806	0.0099	0.0024	1.0000	1.0000
339.9788	0.0103	0.0023	1.0000	1.0000
359.9928	0.0103	0.0023	1.0000	1.0000
380.0190	0.0105	0.0021	1.0000	1.0000
399.9868	0.0109	0.0025	1.0000	1.0000
419.9248	0.0112	0.0022	1.0000	1.0000
439.9840	0.0113	0.0022	1.0000	1.0000
459.9072	0.0111	0.0022	1.0000	1.0000
479.9296	0.0114	0.0022	1.0000	1.0000
499.9852	0.0115	0.0024	1.0000	1.0000
520.0750	0.0115	0.0022	1.0000	1.0000
540.0636	0.0118	0.0024	1.0000	1.0000
560.0584	0.0117	0.0024	1.0000	1.0000
579.9696	0.0120	0.0025	1.0000	1.0000
