# B_up (mT)	 U_up (V) 	 Bdown (mT) 	 U_down (V) 
-599.9600	-0.0094	600.0080	0.0120
-580.0792	-0.0095	580.0038	0.0119
-560.0576	-0.0091	560.0078	0.0119
-539.9436	-0.0090	539.9646	0.0118
-519.9692	-0.0089	520.0124	0.0117
-499.9818	-0.0089	499.9108	0.0115
-479.9692	-0.0087	480.0148	0.0114
-460.0656	-0.0085	460.0528	0.0114
-440.0700	-0.0086	439.9902	0.0113
-420.0258	-0.0085	419.9164	0.0110
-400.0450	-0.0082	399.9600	0.0108
-379.9886	-0.0082	379.9386	0.0107
-359.9116	-0.0077	359.9592	0.0106
-340.0424	-0.0075	340.0940	0.0103
-319.9632	-0.0075	319.9000	0.0101
-300.0032	-0.0070	300.0020	0.0097
-280.0236	-0.0067	279.9440	0.0092
-260.0190	-0.0062	259.9180	0.0088
-239.9552	-0.0057	239.9446	0.0084
-220.0332	-0.0049	219.9788	0.0079
-199.9164	-0.0046	200.0280	0.0073
-180.0268	-0.0041	179.9584	0.0067
-160.0852	-0.0035	160.0152	0.0063
-139.9736	-0.0030	140.0124	0.0057
-120.0350	-0.0025	120.0700	0.0051
-99.9348	-0.0017	99.9672	0.0045
-80.0584	-0.0012	79.9294	0.0041
-60.0264	-0.0006	59.9628	0.0035
-40.0180	-0.0001	40.1000	0.0027
-20.0010	0.0003	19.9000	0.0023
0.0148	0.0010	0.0856	0.0017
19.9742	0.0016	-20.0896	0.0011
40.0388	0.0019	-39.9016	0.0003
59.9004	0.0027	-59.9620	-0.0001
79.9908	0.0035	-79.9664	-0.0006
100.0140	0.0042	-100.0326	-0.0014
119.9364	0.0048	-120.0420	-0.0019
139.9840	0.0051	-139.9942	-0.0023
160.0198	0.0057	-160.0100	-0.0029
180.0896	0.0063	-179.9444	-0.0035
199.9044	0.0068	-200.0328	-0.0041
220.0272	0.0073	-220.0584	-0.0045
239.9250	0.0079	-240.0140	-0.0052
260.0450	0.0084	-259.9860	-0.0056
279.9872	0.0089	-280.0496	-0.0061
299.9324	0.0093	-299.9310	-0.0064
319.9806	0.0097	-320.0588	-0.0072
339.9788	0.0101	-339.9644	-0.0074
359.9928	0.0102	-360.0762	-0.0078
380.0190	0.0104	-379.9930	-0.0080
399.9868	0.0107	-399.9948	-0.0081
419.9248	0.0110	-419.9600	-0.0083
439.9840	0.0112	-439.9604	-0.0084
459.9072	0.0111	-460.0760	-0.0086
479.9296	0.0113	-480.0108	-0.0088
499.9852	0.0115	-500.0032	-0.0090
520.0750	0.0114	-519.9652	-0.0091
540.0636	0.0118	-539.9540	-0.0091
560.0584	0.0117	-559.9400	-0.0093
579.9696	0.0119	-580.0456	-0.0092
599.9320	0.0118	-600.0208	-0.0094
