# B(mT)	 U (V)	 std (V)	 direction 	 loop 
-599.9600	-0.0195	0.0023	1.0000	1.0000
-590.0110	-0.0200	0.0024	1.0000	1.0000
-580.0792	-0.0204	0.0026	1.0000	1.0000
-570.0542	-0.0199	0.0024	1.0000	1.0000
-560.0576	-0.0194	0.0016	1.0000	1.0000
-549.9424	-0.0194	0.0018	1.0000	1.0000
-539.9436	-0.0191	0.0019	1.0000	1.0000
-530.0030	-0.0197	0.0021	1.0000	1.0000
-519.9692	-0.0193	0.0025	1.0000	1.0000
-509.9444	-0.0191	0.0022	1.0000	1.0000
-499.9818	-0.0189	0.0020	1.0000	1.0000
-489.9104	-0.0188	0.0019	1.0000	1.0000
-479.9692	-0.0183	0.0025	1.0000	1.0000
-469.9460	-0.0179	0.0025	1.0000	1.0000
-460.0656	-0.0184	0.0026	1.0000	1.0000
-449.9964	-0.0183	0.0026	1.0000	1.0000
-440.0700	-0.0184	0.0022	1.0000	1.0000
-429.9520	-0.0189	0.0023	1.0000	1.0000
-420.0258	-0.0192	0.0021	1.0000	1.0000
-410.0460	-0.0190	0.0027	1.0000	1.0000
-400.0450	-0.0191	0.0020	1.0000	1.0000
-390.0440	-0.0182	0.0025	1.0000	1.0000
-379.9886	-0.0189	0.0020	1.0000	1.0000
-370.0408	-0.0186	0.0023	1.0000	1.0000
-359.9116	-0.0186	0.0026	1.0000	1.0000
-349.9936	-0.0183	0.0023	1.0000	1.0000
-340.0424	-0.0177	0.0027	1.0000	1.0000
-329.9064	-0.0177	0.0023	1.0000	1.0000
-319.9632	-0.0172	0.0025	1.0000	1.0000
-309.9800	-0.0176	0.0024	1.0000	1.0000
-300.0032	-0.0170	0.0025	1.0000	1.0000
-290.0490	-0.0167	0.0023	1.0000	1.0000
-280.0236	-0.0164	0.0024	1.0000	1.0000
-269.9900	-0.0152	0.0023	1.0000	1.0000
-260.0190	-0.0141	0.0025	1.0000	1.0000
-250.0110	-0.0136	0.0025	1.0000	1.0000
-239.9552	-0.0131	0.0022	1.0000	1.0000
-230.0852	-0.0116	0.0024	1.0000	1.0000
-220.0332	-0.0113	0.0023	1.0000	1.0000
-209.9808	-0.0106	0.0026	1.0000	1.0000
-199.9164	-0.0101	0.0024	1.0000	1.0000
-190.0792	-0.0090	0.0022	1.0000	1.0000
-180.0268	-0.0088	0.0023	1.0000	1.0000
-169.9306	-0.0081	0.0024	1.0000	1.0000
-160.0852	-0.0075	0.0024	1.0000	1.0000
-150.0484	-0.0065	0.0025	1.0000	1.0000
-139.9736	-0.0061	0.0024	1.0000	1.0000
-130.0950	-0.0051	0.0023	1.0000	1.0000
-120.0350	-0.0044	0.0024	1.0000	1.0000
-109.9350	-0.0039	0.0025	1.0000	1.0000
