# B_up (mT)	 U_up (V) 	 Bdown (mT) 	 U_down (V) 
-599.9600	-0.0195	600.0080	0.0234
-590.0110	-0.0200	590.0000	0.0230
-580.0792	-0.0204	580.0038	0.0229
-570.0542	-0.0199	570.0180	0.0227
-560.0576	-0.0194	560.0078	0.0227
-549.9424	-0.0194	550.0712	0.0229
-539.9436	-0.0191	539.9646	0.0223
-530.0030	-0.0197	529.9840	0.0226
-519.9692	-0.0193	520.0124	0.0229
-509.9444	-0.0191	510.0160	0.0228
-499.9818	-0.0189	499.9108	0.0226
-489.9104	-0.0188	490.0404	0.0221
-479.9692	-0.0183	480.0148	0.0219
-469.9460	-0.0179	470.0720	0.0220
-460.0656	-0.0184	460.0528	0.0222
-449.9964	-0.0183	450.0554	0.0216
-440.0700	-0.0184	439.9902	0.0216
-429.9520	-0.0189	430.0844	0.0211
-420.0258	-0.0192	419.9164	0.0215
-410.0460	-0.0190	409.9200	0.0206
-400.0450	-0.0191	399.9600	0.0208
-390.0440	-0.0182	390.0852	0.0208
-379.9886	-0.0189	379.9386	0.0206
-370.0408	-0.0186	370.0556	0.0202
-359.9116	-0.0186	359.9592	0.0202
-349.9936	-0.0183	350.0012	0.0198
-340.0424	-0.0177	340.0940	0.0204
-329.9064	-0.0177	330.0412	0.0204
-319.9632	-0.0172	319.9000	0.0190
-309.9800	-0.0176	309.9360	0.0183
-300.0032	-0.0170	300.0020	0.0173
-290.0490	-0.0167	289.9820	0.0167
-280.0236	-0.0164	279.9440	0.0159
-269.9900	-0.0152	269.9160	0.0150
-260.0190	-0.0141	259.9180	0.0142
-250.0110	-0.0136	250.0662	0.0138
-239.9552	-0.0131	239.9446	0.0134
-230.0852	-0.0116	230.0340	0.0131
-220.0332	-0.0113	219.9788	0.0131
-209.9808	-0.0106	209.9868	0.0133
-199.9164	-0.0101	200.0280	0.0133
-190.0792	-0.0090	190.0332	0.0125
-180.0268	-0.0088	179.9584	0.0117
-169.9306	-0.0081	170.0938	0.0110
-160.0852	-0.0075	160.0152	0.0101
-150.0484	-0.0065	149.9168	0.0098
-139.9736	-0.0061	140.0124	0.0083
-130.0950	-0.0051	129.9136	0.0078
-120.0350	-0.0044	120.0700	0.0073
-109.9350	-0.0039	109.9400	0.0068
-99.9348	-0.0030	99.9672	0.0068
-89.9686	-0.0024	90.0502	0.0066
-80.0584	-0.0020	79.9294	0.0066
-69.9272	-0.0007	70.0480	0.0072
-60.0264	-0.0000	59.9628	0.0070
-49.9338	0.0005	50.0354	0.0071
-40.0180	0.0008	40.1000	0.0072
-30.0944	0.0018	29.9820	0.0072
-20.0010	0.0026	19.9000	0.0074
-9.9244	0.0034	9.9868	0.0071
0.0148	0.0045	0.0856	0.0074
9.9300	0.0050	-9.9796	0.0074
19.9742	0.0058	-20.0896	0.0077
29.9080	0.0067	-29.9940	0.0069
40.0388	0.0070	-39.9016	0.0063
49.9450	0.0074	-50.0316	0.0062
59.9004	0.0081	-59.9620	0.0055
70.0692	0.0086	-70.0810	0.0050
79.9908	0.0092	-79.9664	0.0052
90.0864	0.0101	-89.9042	0.0041
100.0140	0.0102	-100.0326	0.0039
110.0948	0.0110	-110.0894	0.0036
119.9364	0.0113	-120.0420	0.0029
130.0608	0.0117	-129.8998	0.0024
139.9840	0.0129	-139.9942	0.0022
150.0720	0.0131	-149.9040	0.0022
160.0198	0.0134	-160.0100	0.0013
169.9372	0.0139	-170.0660	0.0008
180.0896	0.0149	-179.9444	-0.0000
189.9610	0.0148	-190.0550	-0.0001
199.9044	0.0160	-200.0328	-0.0006
210.0112	0.0165	-209.9108	-0.0008
220.0272	0.0170	-220.0584	-0.0012
230.0848	0.0179	-230.0516	-0.0025
239.9250	0.0180	-240.0140	-0.0023
249.9770	0.0187	-249.9096	-0.0024
260.0450	0.0191	-259.9860	-0.0032
270.0990	0.0198	-270.0312	-0.0028
279.9872	0.0198	-280.0496	-0.0039
290.0748	0.0205	-289.9210	-0.0038
299.9324	0.0215	-299.9310	-0.0045
309.9706	0.0215	-309.9320	-0.0048
319.9806	0.0222	-320.0588	-0.0053
329.9894	0.0217	-330.0416	-0.0059
339.9788	0.0219	-339.9644	-0.0058
349.9504	0.0217	-350.0570	-0.0059
359.9928	0.0216	-360.0762	-0.0064
369.9036	0.0221	-369.9398	-0.0066
380.0190	0.0228	-379.9930	-0.0064
389.9080	0.0234	-389.9332	-0.0063
399.9868	0.0234	-399.9948	-0.0063
410.0704	0.0241	-409.9722	-0.0066
419.9248	0.0240	-419.9600	-0.0060
429.9460	0.0238	-429.9626	-0.0064
439.9840	0.0238	-439.9604	-0.0073
449.9680	0.0240	-450.0280	-0.0090
459.9072	0.0241	-460.0760	-0.0094
470.0498	0.0247	-470.0040	-0.0102
479.9296	0.0244	-480.0108	-0.0110
490.0636	0.0249	-490.0614	-0.0124
499.9852	0.0248	-500.0032	-0.0121
510.0712	0.0245	-510.0820	-0.0121
520.0750	0.0250	-519.9652	-0.0125
530.0228	0.0245	-529.9752	-0.0135
540.0636	0.0243	-539.9540	-0.0143
549.9420	0.0238	-549.9380	-0.0184
560.0584	0.0244	-559.9400	-0.0176
569.9672	0.0239	-569.9506	-0.0170
579.9696	0.0237	-580.0456	-0.0165
589.9378	0.0236	-590.0764	-0.0166
599.9320	0.0228	-600.0208	-0.0170
