# B_down (mT)	 U_down (V) 
600.0080	0.0234
590.0000	0.0230
580.0038	0.0229
570.0180	0.0227
560.0078	0.0227
550.0712	0.0229
539.9646	0.0223
529.9840	0.0226
520.0124	0.0229
510.0160	0.0228
499.9108	0.0226
490.0404	0.0221
480.0148	0.0219
470.0720	0.0220
460.0528	0.0222
450.0554	0.0216
439.9902	0.0216
430.0844	0.0211
419.9164	0.0215
409.9200	0.0206
399.9600	0.0208
390.0852	0.0208
379.9386	0.0206
370.0556	0.0202
359.9592	0.0202
350.0012	0.0198
340.0940	0.0204
330.0412	0.0204
319.9000	0.0190
309.9360	0.0183
300.0020	0.0173
289.9820	0.0167
279.9440	0.0159
269.9160	0.0150
259.9180	0.0142
250.0662	0.0138
239.9446	0.0134
230.0340	0.0131
219.9788	0.0131
209.9868	0.0133
200.0280	0.0133
190.0332	0.0125
179.9584	0.0117
170.0938	0.0110
160.0152	0.0101
149.9168	0.0098
140.0124	0.0083
129.9136	0.0078
120.0700	0.0073
109.9400	0.0068
99.9672	0.0068
90.0502	0.0066
79.9294	0.0066
70.0480	0.0072
59.9628	0.0070
50.0354	0.0071
40.1000	0.0072
29.9820	0.0072
19.9000	0.0074
9.9868	0.0071
0.0856	0.0074
-9.9796	0.0074
-20.0896	0.0077
-29.9940	0.0069
-39.9016	0.0063
-50.0316	0.0062
-59.9620	0.0055
-70.0810	0.0050
-79.9664	0.0052
-89.9042	0.0041
-100.0326	0.0039
-110.0894	0.0036
-120.0420	0.0029
-129.8998	0.0024
-139.9942	0.0022
-149.9040	0.0022
-160.0100	0.0013
-170.0660	0.0008
-179.9444	-0.0000
-190.0550	-0.0001
-200.0328	-0.0006
-209.9108	-0.0008
-220.0584	-0.0012
-230.0516	-0.0025
-240.0140	-0.0023
-249.9096	-0.0024
-259.9860	-0.0032
-270.0312	-0.0028
-280.0496	-0.0039
-289.9210	-0.0038
-299.9310	-0.0045
-309.9320	-0.0048
-320.0588	-0.0053
-330.0416	-0.0059
-339.9644	-0.0058
-350.0570	-0.0059
-360.0762	-0.0064
-369.9398	-0.0066
-379.9930	-0.0064
-389.9332	-0.0063
-399.9948	-0.0063
-409.9722	-0.0066
-419.9600	-0.0060
-429.9626	-0.0064
-439.9604	-0.0073
-450.0280	-0.0090
-460.0760	-0.0094
-470.0040	-0.0102
-480.0108	-0.0110
-490.0614	-0.0124
-500.0032	-0.0121
-510.0820	-0.0121
-519.9652	-0.0125
-529.9752	-0.0135
-539.9540	-0.0143
-549.9380	-0.0184
-559.9400	-0.0176
-569.9506	-0.0170
-580.0456	-0.0165
-590.0764	-0.0166
-600.0208	-0.0170
