# B_up (mT)	 U_up (V)
-599.9600	-0.0195
-590.0110	-0.0200
-580.0792	-0.0204
-570.0542	-0.0199
-560.0576	-0.0194
-549.9424	-0.0194
-539.9436	-0.0191
-530.0030	-0.0197
-519.9692	-0.0193
-509.9444	-0.0191
-499.9818	-0.0189
-489.9104	-0.0188
-479.9692	-0.0183
-469.9460	-0.0179
-460.0656	-0.0184
-449.9964	-0.0183
-440.0700	-0.0184
-429.9520	-0.0189
-420.0258	-0.0192
-410.0460	-0.0190
-400.0450	-0.0191
-390.0440	-0.0182
-379.9886	-0.0189
-370.0408	-0.0186
-359.9116	-0.0186
-349.9936	-0.0183
-340.0424	-0.0177
-329.9064	-0.0177
-319.9632	-0.0172
-309.9800	-0.0176
-300.0032	-0.0170
-290.0490	-0.0167
-280.0236	-0.0164
-269.9900	-0.0152
-260.0190	-0.0141
-250.0110	-0.0136
-239.9552	-0.0131
-230.0852	-0.0116
-220.0332	-0.0113
-209.9808	-0.0106
-199.9164	-0.0101
-190.0792	-0.0090
-180.0268	-0.0088
-169.9306	-0.0081
-160.0852	-0.0075
-150.0484	-0.0065
-139.9736	-0.0061
-130.0950	-0.0051
-120.0350	-0.0044
-109.9350	-0.0039
-99.9348	-0.0030
-89.9686	-0.0024
-80.0584	-0.0020
-69.9272	-0.0007
-60.0264	-0.0000
-49.9338	0.0005
-40.0180	0.0008
-30.0944	0.0018
-20.0010	0.0026
-9.9244	0.0034
0.0148	0.0045
9.9300	0.0050
19.9742	0.0058
29.9080	0.0067
40.0388	0.0070
49.9450	0.0074
59.9004	0.0081
70.0692	0.0086
79.9908	0.0092
90.0864	0.0101
100.0140	0.0102
110.0948	0.0110
119.9364	0.0113
130.0608	0.0117
139.9840	0.0129
150.0720	0.0131
160.0198	0.0134
169.9372	0.0139
180.0896	0.0149
189.9610	0.0148
199.9044	0.0160
210.0112	0.0165
220.0272	0.0170
230.0848	0.0179
239.9250	0.0180
249.9770	0.0187
260.0450	0.0191
270.0990	0.0198
279.9872	0.0198
290.0748	0.0205
299.9324	0.0215
309.9706	0.0215
319.9806	0.0222
329.9894	0.0217
339.9788	0.0219
349.9504	0.0217
359.9928	0.0216
369.9036	0.0221
380.0190	0.0228
389.9080	0.0234
399.9868	0.0234
410.0704	0.0241
419.9248	0.0240
429.9460	0.0238
439.9840	0.0238
449.9680	0.0240
459.9072	0.0241
470.0498	0.0247
479.9296	0.0244
490.0636	0.0249
499.9852	0.0248
510.0712	0.0245
520.0750	0.0250
530.0228	0.0245
540.0636	0.0243
549.9420	0.0238
560.0584	0.0244
569.9672	0.0239
579.9696	0.0237
589.9378	0.0236
599.9320	0.0228
