# B(mT)	 U (V)	 std (V)	 direction 	 loop 
-599.9600	-0.0035	0.0024	1.0000	1.0000
-549.9424	-0.0021	0.0021	1.0000	1.0000
-499.9818	-0.0005	0.0025	1.0000	1.0000
-449.9964	-0.0003	0.0026	1.0000	1.0000
-400.0450	0.0012	0.0025	1.0000	1.0000
-349.9936	0.0037	0.0025	1.0000	1.0000
-300.0032	0.0053	0.0024	1.0000	1.0000
-250.0110	0.0079	0.0020	1.0000	1.0000
-199.9164	0.0098	0.0025	1.0000	1.0000
-150.0484	0.0122	0.0027	1.0000	1.0000
-99.9348	0.0153	0.0025	1.0000	1.0000
-49.9338	0.0181	0.0021	1.0000	1.0000
0.0148	0.0242	0.0022	1.0000	1.0000
49.9450	0.0287	0.0022	1.0000	1.0000
100.0140	0.0335	0.0023	1.0000	1.0000
150.0720	0.0389	0.0023	1.0000	1.0000
199.9044	0.0422	0.0025	1.0000	1.0000
249.9770	0.0432	0.0024	1.0000	1.0000
299.9324	0.0461	0.0025	1.0000	1.0000
349.9504	0.0497	0.0024	1.0000	1.0000
399.9868	0.0511	0.0024	1.0000	1.0000
449.9680	0.0527	0.0025	1.0000	1.0000
499.9852	0.0541	0.0023	1.0000	1.0000
549.9420	0.0555	0.0023	1.0000	1.0000
599.9320	0.0557	0.0022	1.0000	1.0000
600.0080	0.0567	0.0026	-1.0000	1.0000
550.0712	0.0568	0.0028	-1.0000	1.0000
499.9108	0.0565	0.0022	-1.0000	1.0000
450.0554	0.0568	0.0024	-1.0000	1.0000
399.9600	0.0565	0.0023	-1.0000	1.0000
350.0012	0.0553	0.0024	-1.0000	1.0000
300.0020	0.0545	0.0024	-1.0000	1.0000
250.0662	0.0525	0.0021	-1.0000	1.0000
200.0280	0.0504	0.0022	-1.0000	1.0000
149.9168	0.0477	0.0023	-1.0000	1.0000
99.9672	0.0445	0.0022	-1.0000	1.0000
50.0354	0.0406	0.0025	-1.0000	1.0000
0.0856	0.0374	0.0024	-1.0000	1.0000
-50.0316	0.0356	0.0022	-1.0000	1.0000
-100.0326	0.0314	0.0022	-1.0000	1.0000
-149.9040	0.0283	0.0025	-1.0000	1.0000
-200.0328	0.0261	0.0026	-1.0000	1.0000
-249.9096	0.0244	0.0025	-1.0000	1.0000
-299.9310	0.0226	0.0026	-1.0000	1.0000
-350.0570	0.0212	0.0025	-1.0000	1.0000
-399.9948	0.0192	0.0021	-1.0000	1.0000
-450.0280	0.0185	0.0024	-1.0000	1.0000
-500.0032	0.0161	0.0025	-1.0000	1.0000
-549.9380	0.0136	0.0024	-1.0000	1.0000
-600.0208	0.0125	0.0024	-1.0000	1.0000
-599.9600	0.0122	0.0026	1.0000	2.0000
-549.9424	0.0094	0.0025	1.0000	2.0000
-499.9818	0.0091	0.0024	1.0000	2.0000
-449.9964	0.0115	0.0024	1.0000	2.0000
-400.0450	0.0134	0.0026	1.0000	2.0000
-349.9936	0.0156	0.0023	1.0000	2.0000
-300.0032	0.0179	0.0024	1.0000	2.0000
-250.0110	0.0199	0.0024	1.0000	2.0000
-199.9164	0.0236	0.0026	1.0000	2.0000
-150.0484	0.0255	0.0027	1.0000	2.0000
-99.9348	0.0286	0.0025	1.0000	2.0000
-49.9338	0.0303	0.0024	1.0000	2.0000
0.0148	0.0327	0.0021	1.0000	2.0000
49.9450	0.0366	0.0022	1.0000	2.0000
100.0140	0.0377	0.0023	1.0000	2.0000
150.0720	0.0427	0.0024	1.0000	2.0000
199.9044	0.0452	0.0024	1.0000	2.0000
249.9770	0.0483	0.0023	1.0000	2.0000
299.9324	0.0512	0.0024	1.0000	2.0000
349.9504	0.0530	0.0023	1.0000	2.0000
399.9868	0.0531	0.0027	1.0000	2.0000
449.9680	0.0539	0.0026	1.0000	2.0000
499.9852	0.0539	0.0025	1.0000	2.0000
549.9420	0.0554	0.0024	1.0000	2.0000
599.9320	0.0546	0.0024	1.0000	2.0000
600.0080	0.0551	0.0025	-1.0000	2.0000
550.0712	0.0538	0.0023	-1.0000	2.0000
499.9108	0.0539	0.0021	-1.0000	2.0000
450.0554	0.0533	0.0025	-1.0000	2.0000
399.9600	0.0527	0.0024	-1.0000	2.0000
