# B_up (mT)	 U_up (V) 	 Bdown (mT) 	 U_down (V) 
-599.9600	0.0083	600.0080	0.0557
-549.9424	0.0080	550.0712	0.0546
-499.9818	0.0081	499.9108	0.0547
-449.9964	0.0095	450.0554	0.0536
-400.0450	0.0100	399.9600	0.0530
-349.9936	0.0124	350.0012	0.0517
-300.0032	0.0144	300.0020	0.0502
-250.0110	0.0167	250.0662	0.0487
-199.9164	0.0196	200.0280	0.0468
-150.0484	0.0221	149.9168	0.0448
-99.9348	0.0249	99.9672	0.0421
-49.9338	0.0274	50.0354	0.0390
0.0148	0.0314	0.0856	0.0357
49.9450	0.0354	-50.0316	0.0327
100.0140	0.0381	-100.0326	0.0292
150.0720	0.0424	-149.9040	0.0261
199.9044	0.0452	-200.0328	0.0238
249.9770	0.0475	-249.9096	0.0217
299.9324	0.0498	-299.9310	0.0197
349.9504	0.0522	-350.0570	0.0184
399.9868	0.0526	-399.9948	0.0169
449.9680	0.0529	-450.0280	0.0168
499.9852	0.0538	-500.0032	0.0160
549.9420	0.0548	-549.9380	0.0149
599.9320	0.0547	-600.0208	0.0149
