# I (A)	 Bup(mT) 	 Bdown (mT)
-4.00	688.29	689.55
-3.95	687.35	685.74
-3.90	684.07	681.78
-3.85	680.65	677.82
-3.80	677.15	673.69
-3.75	673.51	669.44
-3.70	669.74	665.10
-3.65	665.84	660.57
-3.60	661.76	655.96
-3.55	657.52	651.05
-3.50	653.05	646.13
-3.45	648.41	640.93
-3.40	643.58	635.44
-3.35	638.50	629.68
-3.30	633.21	623.81
-3.25	627.69	617.51
-3.20	621.82	610.95
-3.15	615.62	604.04
-3.10	609.12	596.84
-3.05	602.14	589.24
-3.00	594.78	581.46
-2.95	586.97	573.37
-2.90	578.83	564.99
-2.85	570.32	556.40
-2.80	561.50	547.61
-2.75	552.49	538.72
-2.70	543.39	529.62
-2.65	534.15	520.39
-2.60	524.77	510.95
-2.55	515.38	501.61
-2.50	505.90	492.17
-2.45	496.36	482.49
-2.40	486.82	472.97
-2.35	477.25	463.31
-2.30	467.52	453.73
-2.25	457.76	444.06
-2.20	448.02	434.37
-2.15	438.22	424.63
-2.10	428.37	414.81
-2.05	418.55	405.03
-2.00	408.69	395.28
-1.95	398.80	385.29
-1.90	388.92	375.38
-1.85	379.03	365.52
-1.80	369.11	355.59
-1.75	359.20	345.61
-1.70	349.36	335.76
-1.65	339.38	325.90
-1.60	329.39	315.90
-1.55	319.38	305.96
-1.50	309.37	296.03
-1.45	299.33	285.95
-1.40	289.27	275.94
-1.35	279.18	265.90
-1.30	269.09	255.93
-1.25	259.04	245.82
-1.20	248.97	235.69
-1.15	238.92	225.59
-1.10	228.88	215.57
-1.05	218.82	205.60
-1.00	208.81	195.65
-0.95	198.69	185.62
-0.90	188.54	175.51
-0.85	178.48	165.48
-0.80	168.31	155.36
-0.75	158.20	145.28
-0.70	148.04	135.15
-0.65	137.97	125.08
-0.60	127.83	115.06
-0.55	117.71	104.82
-0.50	107.69	94.71
-0.45	97.59	84.58
-0.40	87.45	74.47
-0.35	77.37	64.42
-0.30	67.23	54.29
-0.25	57.05	44.16
-0.20	46.90	34.01
-0.15	36.81	23.94
-0.10	26.66	13.84
-0.05	16.53	3.70
-0.00	6.53	-6.34
0.05	-3.65	-16.45
0.10	-13.77	-26.56
0.15	-23.82	-36.66
0.20	-33.94	-46.79
0.25	-44.07	-56.92
0.30	-54.18	-67.06
0.35	-64.26	-77.13
0.40	-74.38	-87.26
0.45	-84.52	-97.43
0.50	-94.61	-107.44
0.55	-104.85	-117.63
0.60	-115.02	-127.68
0.65	-125.05	-137.77
0.70	-135.14	-147.88
0.75	-145.21	-158.00
0.80	-155.29	-168.05
0.85	-165.28	-178.13
0.90	-175.39	-188.21
0.95	-185.47	-198.46
1.00	-195.49	-208.29
1.05	-205.55	-218.42
1.10	-215.62	-228.66
1.15	-225.65	-238.60
1.20	-235.73	-248.70
1.25	-245.79	-258.78
1.30	-255.84	-268.83
1.35	-265.79	-278.84
1.40	-275.79	-288.92
1.45	-285.87	-298.93
1.50	-295.82	-308.94
1.55	-305.78	-318.86
1.60	-315.78	-328.85
1.65	-325.74	-338.78
1.70	-335.66	-348.65
1.75	-345.62	-358.70
1.80	-355.56	-368.53
1.85	-365.45	-378.60
1.90	-375.43	-388.55
1.95	-385.34	-398.43
2.00	-395.14	-408.21
2.05	-404.95	-418.00
2.10	-414.75	-427.80
2.15	-424.52	-437.63
2.20	-434.22	-447.34
2.25	-443.97	-456.94
2.30	-453.69	-466.74
2.35	-463.35	-476.34
2.40	-473.05	-486.00
2.45	-482.66	-495.67
2.50	-492.20	-505.09
2.55	-501.69	-514.69
2.60	-511.07	-524.11
2.65	-520.34	-533.57
2.70	-529.46	-542.69
2.75	-538.51	-551.75
2.80	-547.47	-560.85
2.85	-556.30	-569.44
2.90	-564.84	-577.95
2.95	-573.25	-586.01
3.00	-581.38	-593.83
3.05	-589.26	-601.20
3.10	-596.77	-608.19
3.15	-604.02	-614.82
3.20	-610.92	-621.06
3.25	-617.46	-626.89
3.30	-623.72	-632.39
3.35	-629.68	-637.74
3.40	-635.34	-642.71
3.45	-640.78	-647.48
3.50	-645.99	-652.03
3.55	-651.03	-656.42
3.60	-655.89	-660.69
3.65	-660.56	-664.68
3.70	-665.09	-668.64
3.75	-669.47	-672.40
3.80	-673.73	-676.08
3.85	-677.87	-679.65
3.90	-681.88	-682.99
3.95	-685.79	-686.38
4.00	-689.57	-689.57
