# I (A)	 Bup(mT) 	 Bdown (mT)
-4.00	638.81	645.41
-3.90	638.54	638.27
-3.80	631.99	630.68
-3.70	624.99	622.71
-3.60	617.58	614.18
-3.50	609.55	605.10
-3.40	600.75	595.37
-3.30	591.02	584.44
-3.20	580.31	572.75
-3.10	568.23	559.67
-3.00	554.69	545.23
-2.90	539.78	529.89
-2.80	523.63	513.64
-2.70	506.76	496.83
-2.60	489.35	479.25
-2.50	471.68	461.44
-2.40	453.66	443.33
-2.30	435.81	425.41
-2.20	417.69	407.35
-2.10	399.40	389.17
-2.00	381.06	370.58
-1.90	362.46	351.98
-1.80	343.98	333.38
-1.70	325.49	314.87
-1.60	306.97	296.29
-1.50	288.29	277.54
-1.40	269.46	258.83
-1.30	250.70	239.85
-1.20	231.83	221.16
-1.10	213.05	202.46
-1.00	194.33	183.85
-0.90	175.45	164.89
-0.80	156.64	146.07
-0.70	137.71	126.83
-0.60	118.85	108.42
-0.50	100.00	89.26
-0.40	81.13	70.32
-0.30	62.29	51.45
-0.20	43.31	32.46
-0.10	24.41	13.58
0.00	5.59	-5.26
0.10	-13.35	-24.17
0.20	-32.20	-43.08
0.30	-51.11	-62.04
0.40	-69.99	-80.95
0.50	-88.91	-99.87
0.60	-108.01	-118.70
0.70	-126.84	-137.75
0.80	-145.67	-156.36
0.90	-164.47	-175.27
1.00	-183.26	-194.15
1.10	-202.11	-212.95
1.20	-220.90	-231.95
1.30	-239.65	-250.48
1.40	-258.33	-269.23
1.50	-277.01	-287.90
1.60	-295.71	-306.54
1.70	-314.25	-325.30
1.80	-332.96	-344.03
1.90	-351.51	-362.41
2.00	-369.92	-380.81
2.10	-388.36	-399.28
2.20	-406.59	-417.55
2.30	-424.75	-435.54
2.40	-442.88	-453.59
2.50	-460.89	-471.65
2.60	-478.62	-489.41
2.70	-495.98	-506.49
2.80	-512.97	-523.47
2.90	-529.24	-539.43
3.00	-544.71	-554.55
3.10	-559.06	-568.25
3.20	-572.10	-580.14
3.30	-583.85	-590.99
3.40	-594.64	-600.63
3.50	-604.52	-609.35
3.60	-613.68	-617.54
3.70	-622.23	-625.13
3.80	-630.25	-632.07
3.90	-637.73	-638.66
4.00	-644.80	-644.80
